title,original_title,budget,revenue,profit,success,belongs_to_collection,count_language,runtime,genre,genre_encode,genres,release_date,director,actors
Dragonfly,Dragonfly,60000000,30063805.0,-29936195.0,0,0,1,98.0,Drama,6,Drama,1976-03-01,Gilbert Cates,Beau Bridges
March or Die,March or Die,7000000,1000000.0,-6000000.0,0,0,1,107.0,Action,0,"Action,Adventure,Drama,War",1977-09-08,Dick Richards,Gene Hackman
A Haunted House 2,A Haunted House 2,4000000,21206861.0,17206861.0,1,1,1,87.0,Comedy,3,"Comedy,Horror",2014-04-17,Michael Tiddes,Marlon Wayans
Into the Storm,Into the Storm,50000000,150429371.0,100429371.0,1,0,2,100.0,TV Movie,16,"TV Movie,Drama,History",2009-05-31,"""Thaddeus OSullivan""",Brendan Gleeson
Palo Alto,Palo Alto,1000000,1156309.0,156309.0,1,0,1,100.0,Drama,6,Drama,2014-05-09,Gia Coppola,Emma Roberts
Rosemary's Baby,Rosemary's Baby,3200000,33395426.0,30195426.0,1,0,2,168.0,Thriller,17,"Thriller,Drama,Horror,Mystery",2014-09-18,Agnieszka Holland,Zoe Saldana
Loving,Loving,9000000,12898064.0,3898064.0,1,0,1,89.0,Drama,6,"Drama,Romance",1970-03-04,Irvin Kershner,George Segal
The Dirties,The Dirties,55000,0.0,-55000.0,0,0,1,83.0,Drama,6,Drama,2013-10-04,Matt Johnson,Matt Johnson
Coming Home,归来,3000000,32653000.0,29653000.0,1,0,1,111.0,Drama,6,Drama,2014-05-16,Zhang Yimou,Gong Li
Coming Home,Mein Vater,3000000,32653000.0,29653000.0,1,0,1,90.0,Drama,6,"Drama,Romance",2003-01-08,Andreas Kleinert,Götz George
Coming Home,À moi seule,3000000,32653000.0,29653000.0,1,0,1,91.0,Drama,6,"Drama,Romance",2012-04-04,Frédéric Videau,Agathe Bonitzer
They Came Together,They Came Together,3000000,82780.0,-2917220.0,0,0,1,84.0,Comedy,3,Comedy,2014-06-27,David Wain,Paul Rudd
Kites,Kites,9200000,17155193.0,7955193.0,1,0,3,131.0,Drama,6,"Drama,Action,Romance",2010-05-21,Anurag Basu,Hrithik Roshan
Housebound,Housebound,1500000,236863.0,-1263137.0,0,0,1,109.0,Horror,11,"Horror,Comedy,Thriller",2014-09-04,Gerard Johnstone,"""Morgana OReilly"""
Crossroads,Crossroads,12000000,57000000.0,45000000.0,1,0,1,83.0,Crime,4,"Crime,Drama,Mystery",1942-07-23,Jack Conway,William Powell
Crossroads,Crossroads,500000,0.0,-500000.0,0,0,1,83.0,Crime,4,"Crime,Drama,Mystery",1942-07-23,Jack Conway,William Powell
Foreign Letters,Foreign Letters,40000,0.0,-40000.0,0,0,1,100.0,nan,20,,2012-04-22,Ela Thier,Laura Camien
Lights Out,Lights Out,5000000,148807333.0,143807333.0,1,0,1,3.0,Horror,11,Horror,2013-12-01,David F. Sandberg,Lotta Losten
Lights Out,Simon Werner a disparu,5000000,148807333.0,143807333.0,1,0,1,87.0,Drama,6,"Drama,Mystery,Thriller",2010-10-22,Fabrice Gobert,Ana Girardot
The Calling,The Calling,2500000,0.0,-2500000.0,0,0,1,108.0,Thriller,17,Thriller,2014-08-05,Jason Stone,Susan Sarandon
The Calling,The Calling,160000,32092.0,-127908.0,0,0,1,108.0,Thriller,17,Thriller,2014-08-05,Jason Stone,Susan Sarandon
Center Stage,阮玲玉,18000000,21361109.0,3361109.0,1,0,2,126.0,Drama,6,"Drama,Romance",1991-11-29,Stanley Kwan,Maggie Cheung
Chain of Command,Chain of Command,4000000,0.0,-4000000.0,0,0,1,97.0,Action,0,"Action,Thriller",1994-01-01,David Worth,Michael Dudikoff
Chain of Command,Chain of Command,4000000,0.0,-4000000.0,0,0,1,96.0,Action,0,"Action,Thriller",2000-07-22,John Terlesky,Roy Scheider
Not Cool,Not Cool,800000,35688.0,-764312.0,0,0,1,90.0,Comedy,3,Comedy,2014-09-23,Shane Dawson,Shane Dawson
The Case of the Grinning Cat,Chats perchés,200000,7033.0,-192967.0,0,0,1,59.0,Documentary,5,Documentary,2004-12-05,Chris Marker,
Happy Christmas,Happy Christmas,70000,30312.0,-39688.0,0,0,1,82.0,Comedy,3,"Comedy,Drama",2014-06-26,Joe Swanberg,Anna Kendrick
Grace Unplugged,Grace Unplugged,1700000,2507159.0,807159.0,1,0,1,102.0,Drama,6,"Drama,Music",2013-10-04,Brad J. Silverman,AJ Michalka
9,9,30000000,48559999.0,18559999.0,1,0,1,11.0,Animation,2,"Animation,Science Fiction",2005-04-21,Shane Acker,
Doctor Strange,Doctor Strange,165000000,676486457.0,511486457.0,1,0,1,76.0,Action,0,"Action,Animation,Family,Fantasy,Science Fiction",2007-08-14,Patrick Archibald,Bryce Johnson
By the Sea,By the Sea,20000000,3727746.0,-16272254.0,0,0,1,15.0,Comedy,3,Comedy,1915-04-29,Charlie Chaplin,Charlie Chaplin
By the Sea,By the Sea,20000000,3727746.0,-16272254.0,0,0,1,51.0,Comedy,3,"Comedy,Romance",1982-04-12,Bill Wilson,Ronnie Barker
Hawaii,Hawaii,15000000,34562222.0,19562222.0,1,0,1,106.0,Romance,14,Romance,2013-04-12,Marco Berger,Manuel Vignau
Deadfall,Deadfall,6000000,1673635.0,-4326365.0,0,0,1,120.0,Drama,6,"Drama,Action,Crime",1968-09-11,Bryan Forbes,Michael Caine
Deliver Us from Evil,Fri os fra det onde,30000000,87956618.0,57956618.0,1,0,1,100.0,Thriller,17,Thriller,2009-04-03,Ole Bornedal,Pernille Vallentin
Deliver Us from Evil,Deliver Us from Evil,30000000,87956618.0,57956618.0,1,0,1,75.0,Crime,4,"Crime,Drama,TV Movie",1973-09-11,Boris Sagal,George Kennedy
Rosewater,Rosewater,10000000,3185717.0,-6814283.0,0,0,1,103.0,Drama,6,Drama,2014-11-07,Jon Stewart,Gael García Bernal
Murder on the Orient Express,Murder on the Orient Express,55000000,345924923.0,290924923.0,1,0,2,100.0,Crime,4,"Crime,Drama,Thriller",2001-04-22,Carl Schenkel,Alfred Molina
Pendulum,Pendulum,2000000,0.0,-2000000.0,0,0,1,102.0,Crime,4,"Crime,Drama",1969-02-17,George Schaefer,George Peppard
Grace,Grace,5000000,8297.0,-4991703.0,0,0,1,87.0,Thriller,17,"Thriller,Horror",2014-10-28,Jeff Chan,Alexia Fast
Grace,Grace,5000000,8297.0,-4991703.0,0,0,1,95.0,Drama,6,Drama,2014-04-18,Heath Jones,Annika Marks
It's a Wonderful Afterlife,Hai Marjawaan!,10000000,1642939.0,-8357061.0,0,0,2,99.0,Comedy,3,"Comedy,Romance",2010-05-07,Gurinder Chadha,Shabana Azmi
Trance,Trance,16000000,22594052.0,6594052.0,1,0,1,100.0,Thriller,17,"Thriller,TV Movie",2001-01-01,Joe Ahearne,Sam Callis
Trance,Trance,950000,0.0,-950000.0,0,0,1,100.0,Thriller,17,"Thriller,TV Movie",2001-01-01,Joe Ahearne,Sam Callis
Trance,Der Fan,16000000,22594052.0,6594052.0,1,0,1,89.0,Horror,11,Horror,1982-06-04,Eckhart Schmidt,Désirée Nosbusch
Trance,Der Fan,950000,0.0,-950000.0,0,0,1,89.0,Horror,11,Horror,1982-06-04,Eckhart Schmidt,Désirée Nosbusch
Action Jackson,एक्शन जैकसन,7000000,20257000.0,13257000.0,1,0,1,144.0,Action,0,"Action,Comedy,Drama,Romance,Thriller",2014-12-05,Prabhu Deva,Ajay Devgn
Butterfly Girl,Butterfly Girl,180000,17503.0,-162497.0,0,0,1,77.0,Documentary,5,Documentary,2014-03-10,Cary Bell,
Aladdin,Superfantagenio,28000000,504050219.0,476050219.0,1,0,1,95.0,Action,0,"Action,Adventure,Comedy,Fantasy",1986-01-01,Bruno Corbucci,Bud Spencer
Killers,キラーズ,75000000,95572749.0,20572749.0,1,0,3,137.0,Crime,4,"Crime,Thriller,Action,Drama",2014-02-01,Timo Tjahjanto,Kazuki Kitamura
The Forest,El bosc,10000000,40749230.0,30749230.0,1,0,3,98.0,nan,20,,2012-12-14,Óscar Aibar,Maria Molins
The Forest,Las,10000000,40749230.0,30749230.0,1,0,1,76.0,Drama,6,Drama,2009-09-01,Piotr Dumala,Stanisław Brudny
The Forest,The Forest,10000000,40749230.0,30749230.0,1,0,1,85.0,Horror,11,Horror,1982-01-01,Don Jones,Dean Russell
The Forest,A Selva,10000000,40749230.0,30749230.0,1,0,1,105.0,Drama,6,"Drama,Romance",2002-11-01,Leonel Vieira,Diogo Morgado
Eye for an Eye,Olho por Olho,20000000,26792700.0,6792700.0,1,0,1,20.0,nan,20,,1966-03-18,Andrea Tonacci,Fransisco Arruda
The Fountain,Fontan,35000000,15461638.0,-19538362.0,0,0,1,100.0,Comedy,3,Comedy,1989-09-08,Yuri Mamin,Viktor Mikhaylov
Filly Brown,Filly Brown,1250000,2940411.0,1690411.0,1,0,1,100.0,Drama,6,Drama,2013-04-19,Michael D. Olmos,Resmine Atis
Tarzan,Tarzan,145000000,448191819.0,303191819.0,1,0,1,94.0,Animation,2,"Animation,Action,Adventure,Family",2013-07-25,Reinhard Klooss,Kellan Lutz
The Green Hornet,The Green Hornet,110000000,229155503.0,119155503.0,1,0,1,90.0,Action,0,"Action,Comedy",1974-03-21,William Beaudine,Van Williams
The Green Hornet,The Green Hornet,110000000,229155503.0,119155503.0,1,0,1,258.0,nan,20,,1940-01-08,Ford Beebe,Gordon Jones
Submarine,Submarine,1900000,4581937.0,2681937.0,1,0,1,88.0,Action,0,"Action,Drama",1928-08-28,Frank Capra,Jack Holt
The Elephant Man,The Elephant Man,5000000,26010864.0,21010864.0,1,0,1,90.0,TV Movie,16,"TV Movie,Drama",1982-01-04,Jack Hofsiss,Kevin Conway
Water,Water,3000000,11322573.0,8322573.0,1,0,1,94.0,Adventure,1,"Adventure,Comedy",1985-01-01,Dick Clement,Michael Caine
Supernova,Supernova,60000000,14816494.0,-45183506.0,0,0,1,172.0,Science Fiction,15,"Science Fiction,Action,Drama",2005-09-05,John Harrison,Tia Carrere
Inside Out,Inside Out,175000000,856712469.0,681712469.0,1,0,1,93.0,Drama,6,"Drama,Crime",2011-09-27,Artie Mandelberg,Paul Michael Lévesque
Inside Out,Inside Out,175000000,856712469.0,681712469.0,1,0,1,90.0,Drama,6,"Drama,Mystery,Thriller",2006-04-22,David Ogden,Eriq La Salle
Non-Stop,Non-Stop,50000000,222383055.0,172383055.0,1,0,1,90.0,TV Movie,16,"TV Movie,Drama,Mystery,Thriller",2013-11-29,Richard Gabai,Lacey Chabert
Jigsaw,Jigsaw,10000000,102470304.0,92470304.0,1,0,1,70.0,Drama,6,"Drama,Mystery,Thriller",1949-05-28,Fletcher Markle,Franchot Tone
Jigsaw,Jigsaw,10000000,102470304.0,92470304.0,1,0,1,97.0,Thriller,17,"Thriller,Mystery",1968-06-05,James Goldstone,Harry Guardino
Jigsaw,Jigsaw,10000000,102470304.0,92470304.0,1,0,1,107.0,Crime,4,"Crime,Drama,Mystery",1962-08-21,Val Guest,Jack Warner
Oblivion,Oblivion,120000000,287916633.0,167916633.0,1,0,1,94.0,Adventure,1,"Adventure,Science Fiction,Western,Comedy",1994-06-06,Sam Irvin,Richard Joseph Paul
Oblivion,El olvido,120000000,287916633.0,167916633.0,1,0,1,93.0,Documentary,5,Documentary,2008-10-23,Heddy Honigmann,
Monster,Monster,5000000,64240813.0,59240813.0,1,0,1,86.0,Action,0,"Action,Horror,Science Fiction",2008-01-18,Erik Estenberg,Erin Evans
Monster,몬스터,5000000,64240813.0,59240813.0,1,0,1,113.0,Horror,11,Horror,2014-03-13,Hwang In-Ho,Lee Min-ki
Justice League,Justice League,300000000,655953446.0,355953446.0,1,1,1,0.0,Action,0,"Action,Adventure,Fantasy,Science Fiction",2017-11-15,Zack Snyder,Ben Affleck
Thor: Ragnarok,Thor: Ragnarok,180000000,846980024.0,666980024.0,1,1,1,0.0,Action,0,"Action,Adventure,Fantasy,Science Fiction",2017-10-25,Taika Waititi,Chris Hemsworth
Sidewalks of New York,Sidewalks of New York,1000000,3575308.0,2575308.0,1,0,1,74.0,Comedy,3,"Comedy,Crime",1931-09-26,Zion Myers,Buster Keaton
Man on Fire,Man on Fire,60000000,130968579.0,70968579.0,1,0,3,92.0,Action,0,"Action,Drama,Thriller",1987-09-04,Elie Chouraqui,Scott Glenn
Taken,Taken,25000000,226941585.0,201941585.0,1,0,1,877.0,Science Fiction,15,Science Fiction,2002-12-02,John Fawcett,Dakota Fanning
The Opposite Sex,The Opposite Sex,3300000,50206.0,-3249794.0,0,0,1,117.0,Drama,6,"Drama,Comedy,Music,Romance",1956-10-26,David Miller,June Allyson
Red Riding Hood,Red Riding Hood,42000000,91678442.0,49678442.0,1,0,1,84.0,Family,7,"Family,Foreign,Horror",2006-06-27,Randal Kleiser,Lainie Kazan
The Blue Lagoon,The Blue Lagoon,4500000,47923795.0,43423795.0,1,0,1,101.0,Drama,6,"Drama,Romance",1949-03-01,Frank Launder,Jean Simmons
The Last Big Thing,The Last Big Thing,1000000,22434.0,-977566.0,0,0,1,98.0,Comedy,3,"Comedy,Drama",1998-09-23,Dan Zukovic,Dan Zukovic
The Mask,The Mask,18000000,351620129.0,333620129.0,1,0,1,83.0,Horror,11,"Horror,Thriller",1961-10-27,Julian Roffman,Paul Stevens
The Mask,La maschera,18000000,351620129.0,333620129.0,1,0,1,90.0,nan,20,,1988-05-10,Fiorella Infascelli,Helena Bonham Carter
Journey to the Center of the Earth,Journey to the Center of the Earth,45000000,243180937.0,198180937.0,1,0,1,100.0,Fantasy,8,"Fantasy,Action,Science Fiction,Family",1989-07-14,Albert Pyun,Emo Philips
Journey to the Center of the Earth,Journey to the Center of the Earth,45000000,243180937.0,198180937.0,1,0,1,180.0,Adventure,1,"Adventure,Fantasy,Action,Science Fiction,Family",1999-07-07,George T. Miller,Treat Williams
Slow Burn,Slow Burn,15500000,1237615.0,-14262385.0,0,0,1,90.0,Action,0,"Action,Drama,Mystery,Thriller",2000-11-01,Rodney Gibbons,Pam Grier
Just My Luck,Just My Luck,28000000,38159905.0,10159905.0,1,0,1,89.0,Comedy,3,Comedy,1957-11-14,John Paddy Carstairs,Norman Wisdom
Hostage,Όμηρος,75000000,77636443.0,2636443.0,1,0,2,105.0,Crime,4,"Crime,Drama,Thriller",2005-03-04,Constantine Giannaris,Stathis Papadopoulos
Redemption Road,Redemption Road,2300000,29384.0,-2270616.0,0,0,1,91.0,Drama,6,Drama,2011-08-26,Mario Van Peebles,Michael Clarke Duncan
Last Man Standing,Last Man Standing,67000000,18115927.0,-48884073.0,0,0,1,84.0,Drama,6,"Drama,Action,Thriller",2011-06-07,Ernest R. Dickerson,Anthony Michael Hall
Home Movies,Home Movies,400000,89134.0,-310866.0,0,0,1,90.0,Comedy,3,Comedy,1980-05-16,Brian De Palma,Nancy Allen
Lovesick,Lovesick,10100000,10143618.0,43618.0,1,0,1,96.0,Romance,14,"Romance,Comedy,Fantasy",1983-02-18,Marshall Brickman,Dudley Moore
Lovesick,Lovesick,10100000,10143618.0,43618.0,1,0,1,100.0,Romance,14,"Romance,Comedy",2014-04-24,Luke Matheny,Matt LeBlanc
In Cold Blood,In Cold Blood,3500000,13007551.0,9507551.0,1,0,2,240.0,Crime,4,"Crime,TV Movie",1996-11-24,Jonathan Kaplan,Anthony Edwards
Margaret,Margaret,14000000,623292.0,-13376708.0,0,0,1,113.0,TV Movie,16,"TV Movie,Comedy,Drama,Romance",2009-03-26,James Kent,Lindsay Duncan
Signs,Signs,70702619,408269295.0,337566676.0,1,0,1,12.0,Romance,14,Romance,2008-03-10,Patrick Hughes,Kestie Morassi
Halloween,Halloween,15000000,77514401.0,62514401.0,1,0,1,6.0,Horror,11,"Horror,Comedy,Animation",1931-05-01,Dick Huemer,
Halloween,Halloween,10000000,245896878.0,235896878.0,1,0,1,6.0,Horror,11,"Horror,Comedy,Animation",1931-05-01,Dick Huemer,
Halloween,Halloween,325000,70000000.0,69675000.0,1,0,1,6.0,Horror,11,"Horror,Comedy,Animation",1931-05-01,Dick Huemer,
Fort McCoy,Fort McCoy,3000000,78948.0,-2921052.0,0,0,1,0.0,War,18,"War,Drama,History",2014-01-01,Michael Worth,Eric Stoltz
Zodiac,Zodiac,85000000,83080084.0,-1919916.0,0,0,1,89.0,Science Fiction,15,"Science Fiction,TV Movie",2014-08-16,W.D. Hogan,Christopher Lloyd
Pan,Pan,150000000,151543635.0,1543635.0,1,0,3,115.0,Action,0,"Action,Adventure,Fantasy,Drama,Romance",1995-03-24,Henning Carlsen,Lasse Kolsrud
Zipper,Zipper,4500000,0.0,-4500000.0,0,0,1,103.0,Thriller,17,"Thriller,Drama",2015-08-28,Mora Stephens,Patrick Wilson
Me and Earl and the Dying Girl,Me and Earl and the Dying Girl,8000000,9266180.0,1266180.0,1,0,1,105.0,Comedy,3,"Comedy,Drama",2015-06-12,Alfonso Gomez-Rejon,Thomas Mann
Dangerous Liaisons,Les liaisons dangereuses,24200000,10447579.0,-13752421.0,0,0,1,248.0,Drama,6,"Drama,Romance",2003-08-26,,Catherine Deneuve
Dangerous Liaisons,Les liaisons dangereuses,14000000,34700000.0,20700000.0,1,0,1,248.0,Drama,6,"Drama,Romance",2003-08-26,,Catherine Deneuve
Dangerous Liaisons,Les liaisons dangereuses,24200000,10447579.0,-13752421.0,0,0,1,106.0,Drama,6,"Drama,Romance",1959-09-09,Roger Vadim,Gérard Philipe
Dangerous Liaisons,Les liaisons dangereuses,14000000,34700000.0,20700000.0,1,0,1,106.0,Drama,6,"Drama,Romance",1959-09-09,Roger Vadim,Gérard Philipe
The Invitation,The Invitation,1000000,354836.0,-645164.0,0,0,1,85.0,Horror,11,"Horror,Drama,Thriller",2003-12-23,Pat Bermel,Lance Henriksen
When the Bough Breaks,When the Bough Breaks,10000000,30768449.0,20768449.0,1,0,1,105.0,Thriller,17,Thriller,1994-05-07,Michael Cohn,Ally Walker
The Beach,La spiaggia,50000000,39778599.0,-10221401.0,0,0,1,107.0,nan,20,,1954-06-12,Alberto Lattuada,Martine Carol
Hercules,Hercules,100000000,243388614.0,143388614.0,1,0,1,240.0,Fantasy,8,"Fantasy,Action,Adventure",2005-04-01,Roger Young,Leelee Sobieski
Hercules,Hercules,70000000,250700000.0,180700000.0,1,0,1,240.0,Fantasy,8,"Fantasy,Action,Adventure",2005-04-01,Roger Young,Leelee Sobieski
Closure,Closure,100000,0.0,-100000.0,0,0,1,76.0,Documentary,5,Documentary,2013-12-01,Bryan Tucker,Angela Tucker
The Last Five Years,The Last Five Years,2000000,169439.0,-1830561.0,0,0,1,94.0,Comedy,3,"Comedy,Drama,Music,Romance",2014-11-03,Richard LaGravenese,Anna Kendrick
Sense and Sensibility,Sense and Sensibility,16500000,134993774.0,118493774.0,1,0,1,174.0,Drama,6,Drama,2008-01-01,John Alexander,Hattie Morahan
Sense and Sensibility,Sense and Sensibility,16500000,134993774.0,118493774.0,1,0,1,174.0,Romance,14,"Romance,Drama",1981-02-01,Rodney Bennett,Irene Richards
Sense and Sensibility,Sense and Sensibility,16500000,134993774.0,118493774.0,1,0,1,178.0,nan,20,,1971-01-01,David Giles,Joanna David
Lost and Found,Lost and Found,14000000,6552255.0,-7447745.0,0,0,1,106.0,nan,20,,1979-07-13,Melvin Frank,George Segal
Freeheld,Freeheld,7000000,1732228.0,-5267772.0,0,0,1,40.0,nan,20,,2007-01-18,Cynthia Wade,
The Magic Flute,The Magic Flute,27000000,0.0,-27000000.0,0,0,1,133.0,Comedy,3,"Comedy,Drama,Music",2006-09-07,Kenneth Branagh,Joseph Kaiser
Falcon Rising,Falcon Rising,4500000,11774.0,-4488226.0,0,0,1,103.0,Adventure,1,"Adventure,Action",2014-09-05,Ernie Barbarash,Michael Jai White
Rings,Rings,25000000,82933201.0,57933201.0,1,0,1,16.0,Horror,11,"Horror,Thriller",2005-03-08,Jonathan Liebesman,Ryan Merriman
Rio,Rio,90000000,487519809.0,397519809.0,1,0,1,77.0,Crime,4,Crime,1939-12-29,John Brahm,Basil Rathbone
The Dark Knight,The Dark Knight,185000000,1001620618.0,816620618.0,1,0,1,86.0,Action,0,"Action,Crime,Drama,Thriller",2011-07-11,Drew Maxwell,Kyle Walsh
The Boy,The Boy,10000000,68220952.0,58220952.0,1,0,1,110.0,Drama,6,"Drama,Horror,Thriller",2015-08-14,Craig Macneill,David Morse
Mata Hari,Mata Hari,558000,900000.0,342000.0,1,0,1,104.0,Drama,6,"Drama,Action,Thriller,Romance",1985-09-05,Curtis Harrington,Sylvia Kristel
Power Rangers,Power/Rangers,120000000,142534143.0,22534143.0,1,0,1,14.0,Action,0,"Action,Adventure,Science Fiction",2015-02-24,Joseph Kahn,Katee Sackhoff
Widows,Viudas,40000000,3126687.0,-36873313.0,0,0,1,100.0,Drama,6,Drama,2011-08-18,Marcos Carnevale,Graciela Borges
Moby Dick,모비딕,4500000,10400000.0,5900000.0,1,0,1,112.0,Horror,11,"Horror,Action,Thriller",2011-06-09,Park In-je,Hwang Jung-min
Stitches,Stitches,2000000,63555.0,-1936445.0,0,0,1,89.0,Comedy,3,Comedy,1985-11-01,Rod Holcomb,Parker Stevenson
The Village,Hepzibah - Sie holt dich im Schlaf,71682975,257641634.0,185958659.0,1,0,1,92.0,nan,20,,2010-02-01,Robert Sigl,Eleanor Tomlinson
Night School,Night School,29000000,97491415.0,68491415.0,1,0,1,88.0,Horror,11,"Horror,Mystery,Thriller",1981-01-07,Ken Hughes,Leonard Mann
Survivor,Survivor,20000000,1703281.0,-18296719.0,0,0,1,93.0,Science Fiction,15,"Science Fiction,Action,Fantasy",2014-07-22,John Lyde,Danielle Ryan Chuchran
Survivor,Survivor,20000000,1703281.0,-18296719.0,0,0,1,,Action,0,"Action,Horror,Science Fiction",1999-05-13,,Greg Evigan
Da Sweet Blood of Jesus,Da Sweet Blood of Jesus,1250000,0.0,-1250000.0,0,0,1,123.0,Thriller,17,"Thriller,Comedy,Romance",2014-06-22,Spike Lee,Felicia Pearson
Lage Raho Munna Bhai,Lage Raho Munna Bhai,2700000,31517561.0,28817561.0,1,1,1,144.0,Comedy,3,"Comedy,Drama,Romance",2006-01-01,Rajkumar Hirani,Sanjay Dutt
Happy Valley,Happy Valley,250000,67665.0,-182335.0,0,0,1,98.0,Documentary,5,Documentary,2014-11-14,Amir Bar-Lev,
The Walking Deceased,Walking with the Dead,2000000,0.0,-2000000.0,0,0,2,90.0,Science Fiction,15,"Science Fiction,Comedy",2015-03-20,Scott Dow,Tim Ogletree
Frontera,Frontera,2300000,59696.0,-2240304.0,0,0,1,103.0,Western,19,"Western,Drama",2014-07-31,Michael Berry,Ed Harris
Paranoia,Orgasmo,40000000,16340767.0,-23659233.0,0,0,1,91.0,Thriller,17,"Thriller,Drama,Romance",1969-02-07,Umberto Lenzi,Carroll Baker
Paranoia,Paranoia,40000000,16340767.0,-23659233.0,0,0,1,102.0,Drama,6,Drama,1967-04-19,Adriaan Ditvoorst,Kees van Eyck
Pump,Pump!,2000000,72277.0,-1927723.0,0,0,1,88.0,Documentary,5,Documentary,2014-09-19,Joshua Tickell,
High Road,High Road,546173,0.0,-546173.0,0,0,1,87.0,Comedy,3,Comedy,2012-03-06,Matt Walsh,Kathryn Burns
The Happening,The Happening,60000000,162778384.0,102778384.0,1,0,1,101.0,Comedy,3,Comedy,1967-03-01,Elliot Silverstein,Anthony Quinn
Meet the Mormons,Meet the Mormons,2000000,6049171.0,4049171.0,1,0,1,78.0,Family,7,"Family,Documentary",2014-10-10,Blair Treu,Jermaine Sullivan
Sparkle,Sparkle,10000000,24660323.0,14660323.0,1,0,1,98.0,Drama,6,"Drama,Music",1976-04-07,"""Sam OSteen""",Philip Michael Thomas
Fugly,Fugly,4500000,0.0,-4500000.0,0,0,2,134.0,Comedy,3,"Comedy,Drama,Thriller",2014-06-13,Kabir Sadanand,Jimmy Shergill
Open Secret,Open Secret,100000,0.0,-100000.0,0,0,1,0.0,nan,20,,2013-11-03,,
Morgan,Morgan,8000000,7298786.0,-701214.0,0,0,1,89.0,Drama,6,Drama,2012-01-07,Michael D. Akers,Leo Minaya
Child's Play,Child's Play,9000000,44196684.0,35196684.0,1,0,1,100.0,Thriller,17,Thriller,1972-12-12,Sidney Lumet,James Mason
Matilda,Matilda,25000000,9354153.0,-15645847.0,0,0,1,105.0,Comedy,3,"Comedy,Crime,Family",1978-06-22,Daniel Mann,Elliott Gould
Vessel,Vessel,800000,0.0,-800000.0,0,0,1,90.0,Documentary,5,Documentary,2014-03-09,Diana Whitten,Rebecca Gomperts
Dungeons & Dragons: Wrath of the Dragon God,Dungeons & Dragons: Wrath of the Dragon God,15000000,909822.0,-14090178.0,0,1,1,105.0,Action,0,"Action,Adventure,Fantasy",2005-01-01,Gerry Lively,Bruce Payne
The Cry of the Owl,Le Cri du hibou,11500000,0.0,-11500000.0,0,0,1,102.0,Drama,6,"Drama,Romance,Thriller",1987-10-28,Claude Chabrol,Christophe Malavoy
Enter the Dangerous Mind,Enter the Dangerous Mind,3000000,0.0,-3000000.0,0,0,1,88.0,Thriller,17,Thriller,2013-03-11,Youssef Delara,Jake Hoffman
Whiplash,Whiplash,3300000,38922593.0,35622593.0,1,0,1,91.0,Drama,6,Drama,1948-12-24,Lewis Seiler,Dane Clark
Whiplash,Whiplash,3300000,38922593.0,35622593.0,1,0,1,18.0,Drama,6,"Drama,Music",2013-01-18,Damien Chazelle,Johnny Simmons
Jab Tak Hai Jaan,Jab Tak Hai Jaan,9200000,5806666.0,-3393334.0,0,0,1,176.0,Drama,6,"Drama,Romance",2012-11-13,Yash Chopra,Shah Rukh Khan
The Sisterhood of Night,The Sisterhood of Night,1000000,6870.0,-993130.0,0,0,1,104.0,Mystery,13,"Mystery,Drama,Thriller",2015-04-10,Caryn Waechter,Kara Hayward
The Bachelor,Lo scapolo,21000000,36882378.0,15882378.0,1,0,1,0.0,Comedy,3,Comedy,1955-12-30,Antonio Pietrangeli,Alberto Sordi
Obsessed,Obsessed,20000000,73964713.0,53964713.0,1,0,1,96.0,Drama,6,"Drama,Thriller",2002-09-22,John Badham,Jenna Elfman
Obsessed,Obsessed,20000000,73964713.0,53964713.0,1,0,1,88.0,TV Movie,16,"TV Movie,Drama,Thriller",1992-09-26,Jonathan Sanger,Shannen Doherty
Do You Believe?,Do You Believe?,2300000,14305450.0,12005450.0,1,0,1,115.0,Fantasy,8,"Fantasy,Drama",2015-03-20,Jon Gunn,Mira Sorvino
The Master,Bui bun si mun,37500000,50647416.0,13147416.0,1,0,2,92.0,Action,0,"Action,Foreign",1980-05-23,Tony Liu Chun-Ku,Chen Kuan-Tai
The Master,The Master,37500000,50647416.0,13147416.0,1,0,1,109.0,nan,20,,2017-01-01,,Donnie Yen
Alice Through the Looking Glass,Alice Through the Looking Glass,170000000,276934087.0,106934087.0,1,0,1,83.0,Family,7,"Family,Fantasy",1998-12-26,John Henderson,Kate Beckinsale
Premonition,予言,20000000,81461343.0,61461343.0,1,0,1,95.0,Foreign,9,"Foreign,Horror",2004-01-01,Norio Tsuruta,Hiroshi Mikami
My Big Fat Independent Movie,My Big Fat Independent Movie,3000000,4655.0,-2995345.0,0,0,1,80.0,Comedy,3,Comedy,2005-03-04,Philip Zlotorynski,Paget Brewster
Kevin Hart: Laugh at My Pain,Kevin Hart: Laugh at My Pain,750000,7712436.0,6962436.0,1,0,1,89.0,Comedy,3,"Comedy,Documentary",2011-09-09,Tim Story,Kevin Hart
The FP,The FP,60000,0.0,-60000.0,0,0,1,82.0,Comedy,3,Comedy,2011-03-13,Brandon Trost,Jason Trost
Green Street Hooligans: Underground,Green Street Hooligans: Underground,8000000,0.0,-8000000.0,0,1,1,90.0,Action,0,"Action,Drama",2013-01-01,James Nunn,Scott Adkins
