title,original_title,budget,revenue,profit,success,belongs_to_collection,count_language,runtime,genre,genre_encode,genres,release_date,director,actors,actorAwardNominations,actorAwardWins,actorMovies,directorAwardNominations,directorAwardWins,directorMovies
The Green Hornet,The Green Hornet,110000000,229155503.0,119155503.0,1,0,1,258.0,,20,,1940-01-08,Ford Beebe,Gordon Jones,1,1,160,1,0,104
Submarine,Submarine,1900000,4581937.0,2681937.0,1,0,1,88.0,Action,0,"Action,Drama",1928-08-28,Frank Capra,Jack Holt,1,1,192,15,12,58
The Elephant Man,The Elephant Man,5000000,26010864.0,21010864.0,1,0,1,90.0,TV Movie,16,"TV Movie,Drama",1982-01-04,Jack Hofsiss,Kevin Conway,0,0,79,2,0,9
Water,Water,3000000,11322573.0,8322573.0,1,0,1,94.0,Adventure,1,"Adventure,Comedy",1985-01-01,Dick Clement,Michael Caine,65,38,170,15,9,16
Supernova,Supernova,60000000,14816494.0,-45183506.0,0,0,1,172.0,Science Fiction,15,"Science Fiction,Action,Drama",2005-09-05,John Harrison,Tia Carrere,7,3,101,3,1,19
Inside Out,Inside Out,175000000,856712469.0,681712469.0,1,0,1,93.0,Drama,6,"Drama,Crime",2011-09-27,Artie Mandelberg,Paul Michael Lévesque,0,0,102,0,0,1
Inside Out,Inside Out,175000000,856712469.0,681712469.0,1,0,1,90.0,Drama,6,"Drama,Mystery,Thriller",2006-04-22,David Ogden,Eriq La Salle,18,10,57,1,1,2
Non-Stop,Non-Stop,50000000,222383055.0,172383055.0,1,0,1,90.0,TV Movie,16,"TV Movie,Drama,Mystery,Thriller",2013-11-29,Richard Gabai,Lacey Chabert,16,6,139,0,0,27
Jigsaw,Jigsaw,10000000,102470304.0,92470304.0,1,0,1,70.0,Drama,6,"Drama,Mystery,Thriller",1949-05-28,Fletcher Markle,Franchot Tone,2,2,112,0,0,24
Jigsaw,Jigsaw,10000000,102470304.0,92470304.0,1,0,1,97.0,Thriller,17,"Thriller,Mystery",1968-06-05,James Goldstone,Harry Guardino,3,3,126,2,1,60
Jigsaw,Jigsaw,10000000,102470304.0,92470304.0,1,0,1,107.0,Crime,4,"Crime,Drama,Mystery",1962-08-21,Val Guest,Jack Warner,0,0,39,5,2,55
Oblivion,Oblivion,120000000,287916633.0,167916633.0,1,0,1,94.0,Adventure,1,"Adventure,Science Fiction,Western,Comedy",1994-06-06,Sam Irvin,Richard Joseph Paul,0,0,40,2,3,40
Oblivion,El olvido,120000000,287916633.0,167916633.0,1,0,1,93.0,Documentary,5,Documentary,2008-10-23,Heddy Honigmann,,0,0,1,9,19,24
Monster,Monster,5000000,64240813.0,59240813.0,1,0,1,86.0,Action,0,"Action,Horror,Science Fiction",2008-01-18,Erik Estenberg,Erin Evans,0,0,9,2,2,11
Monster,몬스터,5000000,64240813.0,59240813.0,1,0,1,113.0,Horror,11,Horror,2014-03-13,Hwang In-Ho,Lee Min-ki,1,1,21,0,0,2
Justice League,Justice League,300000000,655953446.0,355953446.0,1,1,1,0.0,Action,0,"Action,Adventure,Fantasy,Science Fiction",2017-11-15,Zack Snyder,Ben Affleck,110,73,70,13,4,17
Thor: Ragnarok,Thor: Ragnarok,180000000,846980024.0,666980024.0,1,1,1,0.0,Action,0,"Action,Adventure,Fantasy,Science Fiction",2017-10-25,Taika Waititi,Chris Hemsworth,32,11,39,32,59,20
Sidewalks of New York,Sidewalks of New York,1000000,3575308.0,2575308.0,1,0,1,74.0,Comedy,3,"Comedy,Crime",1931-09-26,Zion Myers,Buster Keaton,6,6,149,0,0,40
Man on Fire,Man on Fire,60000000,130968579.0,70968579.0,1,0,3,92.0,Action,0,"Action,Drama,Thriller",1987-09-04,Elie Chouraqui,Scott Glenn,1,0,97,3,2,15
Taken,Taken,25000000,226941585.0,201941585.0,1,0,1,877.0,Science Fiction,15,Science Fiction,2002-12-02,John Fawcett,Dakota Fanning,28,17,65,11,12,46
The Opposite Sex,The Opposite Sex,3300000,50206.0,-3249794.0,0,0,1,117.0,Drama,6,"Drama,Comedy,Music,Romance",1956-10-26,David Miller,June Allyson,3,4,75,1,0,52
Red Riding Hood,Red Riding Hood,42000000,91678442.0,49678442.0,1,0,1,84.0,Family,7,"Family,Foreign,Horror",2006-06-27,Randal Kleiser,Lainie Kazan,8,5,113,3,2,33
The Blue Lagoon,The Blue Lagoon,4500000,47923795.0,43423795.0,1,0,1,101.0,Drama,6,"Drama,Romance",1949-03-01,Frank Launder,Jean Simmons,18,11,95,2,1,18
The Last Big Thing,The Last Big Thing,1000000,22434.0,-977566.0,0,0,1,98.0,Comedy,3,"Comedy,Drama",1998-09-23,Dan Zukovic,Dan Zukovic,6,5,36,6,5,6
The Mask,The Mask,18000000,351620129.0,333620129.0,1,0,1,83.0,Horror,11,"Horror,Thriller",1961-10-27,Julian Roffman,Paul Stevens,1,0,67,0,0,5
The Mask,La maschera,18000000,351620129.0,333620129.0,1,0,1,90.0,,20,,1988-05-10,Fiorella Infascelli,Helena Bonham Carter,87,45,94,4,1,11
Journey to the Center of the Earth,Journey to the Center of the Earth,45000000,243180937.0,198180937.0,1,0,1,100.0,Fantasy,8,"Fantasy,Action,Science Fiction,Family",1989-07-14,Albert Pyun,Emo Philips,0,0,22,2,4,54
Journey to the Center of the Earth,Journey to the Center of the Earth,45000000,243180937.0,198180937.0,1,0,1,180.0,Adventure,1,"Adventure,Fantasy,Action,Science Fiction,Family",1999-07-07,George T. Miller,Treat Williams,14,4,123,56,71,18
Slow Burn,Slow Burn,15500000,1237615.0,-14262385.0,0,0,1,90.0,Action,0,"Action,Drama,Mystery,Thriller",2000-11-01,Rodney Gibbons,Pam Grier,20,9,103,1,0,17
Just My Luck,Just My Luck,28000000,38159905.0,10159905.0,1,0,1,89.0,Comedy,3,Comedy,1957-11-14,John Paddy Carstairs,Norman Wisdom,2,2,45,0,0,40
Hostage,Όμηρος,75000000,77636443.0,2636443.0,1,0,2,105.0,Crime,4,"Crime,Drama,Thriller",2005-03-04,Constantine Giannaris,Stathis Papadopoulos,0,0,5,8,8,14
Redemption Road,Redemption Road,2300000,29384.0,-2270616.0,0,0,1,91.0,Drama,6,Drama,2011-08-26,Mario Van Peebles,Michael Clarke Duncan,16,5,99,13,7,43
Last Man Standing,Last Man Standing,67000000,18115927.0,-48884073.0,0,0,1,84.0,Drama,6,"Drama,Action,Thriller",2011-06-07,Ernest R. Dickerson,Anthony Michael Hall,3,2,89,18,9,68
Home Movies,Home Movies,400000,89134.0,-310866.0,0,0,1,90.0,Comedy,3,Comedy,1980-05-16,Brian De Palma,Nancy Allen,6,1,40,23,10,43
Lovesick,Lovesick,10100000,10143618.0,43618.0,1,0,1,96.0,Romance,14,"Romance,Comedy,Fantasy",1983-02-18,Marshall Brickman,Dudley Moore,8,5,47,7,10,4
Lovesick,Lovesick,10100000,10143618.0,43618.0,1,0,1,100.0,Romance,14,"Romance,Comedy",2014-04-24,Luke Matheny,Matt LeBlanc,31,6,32,2,6,13
In Cold Blood,In Cold Blood,3500000,13007551.0,9507551.0,1,0,2,240.0,Crime,4,"Crime,TV Movie",1996-11-24,Jonathan Kaplan,Anthony Edwards,26,15,59,8,5,38
Margaret,Margaret,14000000,623292.0,-13376708.0,0,0,1,113.0,TV Movie,16,"TV Movie,Comedy,Drama,Romance",2009-03-26,James Kent,Lindsay Duncan,7,4,103,2,0,31
Signs,Signs,70702619,408269295.0,337566676.0,1,0,1,12.0,Romance,14,Romance,2008-03-10,Patrick Hughes,Kestie Morassi,2,1,36,3,1,7
Halloween,Halloween,15000000,77514401.0,62514401.0,1,0,1,6.0,Horror,11,"Horror,Comedy,Animation",1931-05-01,Dick Huemer,,0,0,1,2,2,35
Halloween,Halloween,10000000,245896878.0,235896878.0,1,0,1,6.0,Horror,11,"Horror,Comedy,Animation",1931-05-01,Dick Huemer,,0,0,1,2,2,35
Halloween,Halloween,325000,70000000.0,69675000.0,1,0,1,6.0,Horror,11,"Horror,Comedy,Animation",1931-05-01,Dick Huemer,,0,0,1,2,2,35
Fort McCoy,Fort McCoy,3000000,78948.0,-2921052.0,0,0,1,0.0,War,18,"War,Drama,History",2014-01-01,Michael Worth,Eric Stoltz,4,10,124,4,8,14
Zodiac,Zodiac,85000000,83080084.0,-1919916.0,0,0,1,89.0,Science Fiction,15,"Science Fiction,TV Movie",2014-08-16,W.D. Hogan,Christopher Lloyd,14,9,225,0,0,16
Pan,Pan,150000000,151543635.0,1543635.0,1,0,3,115.0,Action,0,"Action,Adventure,Fantasy,Drama,Romance",1995-03-24,Henning Carlsen,Lasse Kolsrud,0,0,23,7,6,23
Zipper,Zipper,4500000,0.0,-4500000.0,0,0,1,103.0,Thriller,17,"Thriller,Drama",2015-08-28,Mora Stephens,Patrick Wilson,18,4,51,1,2,5
Me and Earl and the Dying Girl,Me and Earl and the Dying Girl,8000000,9266180.0,1266180.0,1,0,1,105.0,Comedy,3,"Comedy,Drama",2015-06-12,Alfonso Gomez-Rejon,Thomas Mann,3,1,33,13,14,9
Dangerous Liaisons,Les liaisons dangereuses,24200000,10447579.0,-13752421.0,0,0,1,248.0,Drama,6,"Drama,Romance",2003-08-26,,Catherine Deneuve,24,36,133,0,0,1
Dangerous Liaisons,Les liaisons dangereuses,14000000,34700000.0,20700000.0,1,0,1,248.0,Drama,6,"Drama,Romance",2003-08-26,,Catherine Deneuve,24,36,133,0,0,1
Dangerous Liaisons,Les liaisons dangereuses,24200000,10447579.0,-13752421.0,0,0,1,106.0,Drama,6,"Drama,Romance",1959-09-09,Roger Vadim,Gérard Philipe,2,2,36,2,0,31
Dangerous Liaisons,Les liaisons dangereuses,14000000,34700000.0,20700000.0,1,0,1,106.0,Drama,6,"Drama,Romance",1959-09-09,Roger Vadim,Gérard Philipe,2,2,36,2,0,31
The Invitation,The Invitation,1000000,354836.0,-645164.0,0,0,1,85.0,Horror,11,"Horror,Drama,Thriller",2003-12-23,Pat Bermel,Lance Henriksen,16,18,248,2,0,1
When the Bough Breaks,When the Bough Breaks,10000000,30768449.0,20768449.0,1,0,1,105.0,Thriller,17,Thriller,1994-05-07,Michael Cohn,Ally Walker,3,0,54,2,2,4
The Beach,La spiaggia,50000000,39778599.0,-10221401.0,0,0,1,107.0,,20,,1954-06-12,Alberto Lattuada,Martine Carol,0,0,50,10,15,40
Hercules,Hercules,100000000,243388614.0,143388614.0,1,0,1,240.0,Fantasy,8,"Fantasy,Action,Adventure",2005-04-01,Roger Young,Leelee Sobieski,10,5,44,3,4,52
Hercules,Hercules,70000000,250700000.0,180700000.0,1,0,1,240.0,Fantasy,8,"Fantasy,Action,Adventure",2005-04-01,Roger Young,Leelee Sobieski,10,5,44,3,4,52
Closure,Closure,100000,0.0,-100000.0,0,0,1,76.0,Documentary,5,Documentary,2013-12-01,Bryan Tucker,Angela Tucker,0,0,1,0,0,1
The Last Five Years,The Last Five Years,2000000,169439.0,-1830561.0,0,0,1,94.0,Comedy,3,"Comedy,Drama,Music,Romance",2014-11-03,Richard LaGravenese,Anna Kendrick,71,17,50,18,7,7
Sense and Sensibility,Sense and Sensibility,16500000,134993774.0,118493774.0,1,0,1,174.0,Drama,6,Drama,2008-01-01,John Alexander,Hattie Morahan,1,1,39,4,1,29
Sense and Sensibility,Sense and Sensibility,16500000,134993774.0,118493774.0,1,0,1,174.0,Romance,14,"Romance,Drama",1981-02-01,Rodney Bennett,Irene Richards,0,0,22,3,0,32
Sense and Sensibility,Sense and Sensibility,16500000,134993774.0,118493774.0,1,0,1,178.0,,20,,1971-01-01,David Giles,Joanna David,0,0,93,1,0,44
Lost and Found,Lost and Found,14000000,6552255.0,-7447745.0,0,0,1,106.0,,20,,1979-07-13,Melvin Frank,George Segal,10,5,125,16,12,17
Freeheld,Freeheld,7000000,1732228.0,-5267772.0,0,0,1,40.0,,20,,2007-01-18,Cynthia Wade,,0,0,1,4,23,18
The Magic Flute,The Magic Flute,27000000,0.0,-27000000.0,0,0,1,133.0,Comedy,3,"Comedy,Drama,Music",2006-09-07,Kenneth Branagh,Joseph Kaiser,0,0,5,63,36,22
Falcon Rising,Falcon Rising,4500000,11774.0,-4488226.0,0,0,1,103.0,Adventure,1,"Adventure,Action",2014-09-05,Ernie Barbarash,Michael Jai White,5,0,96,0,0,21
Rings,Rings,25000000,82933201.0,57933201.0,1,0,1,16.0,Horror,11,"Horror,Thriller",2005-03-08,Jonathan Liebesman,Ryan Merriman,8,6,56,3,2,9
Rio,Rio,90000000,487519809.0,397519809.0,1,0,1,77.0,Crime,4,Crime,1939-12-29,John Brahm,Basil Rathbone,5,5,126,2,0,76
The Dark Knight,The Dark Knight,185000000,1001620618.0,816620618.0,1,0,1,86.0,Action,0,"Action,Crime,Drama,Thriller",2011-07-11,Drew Maxwell,Kyle Walsh,0,0,3,0,0,5
The Boy,The Boy,10000000,68220952.0,58220952.0,1,0,1,110.0,Drama,6,"Drama,Horror,Thriller",2015-08-14,Craig Macneill,David Morse,13,7,94,4,3,8
Mata Hari,Mata Hari,558000,900000.0,342000.0,1,0,1,104.0,Drama,6,"Drama,Action,Thriller,Romance",1985-09-05,Curtis Harrington,Sylvia Kristel,1,1,59,1,1,37
Power Rangers,Power/Rangers,120000000,142534143.0,22534143.0,1,0,1,14.0,Action,0,"Action,Adventure,Science Fiction",2015-02-24,Joseph Kahn,Katee Sackhoff,9,2,57,13,9,107
Widows,Viudas,40000000,3126687.0,-36873313.0,0,0,1,100.0,Drama,6,Drama,2011-08-18,Marcos Carnevale,Graciela Borges,8,8,72,7,3,17
Moby Dick,모비딕,4500000,10400000.0,5900000.0,1,0,1,112.0,Horror,11,"Horror,Action,Thriller",2011-06-09,Park In-je,Hwang Jung-min,17,11,40,0,0,1
Stitches,Stitches,2000000,63555.0,-1936445.0,0,0,1,89.0,Comedy,3,Comedy,1985-11-01,Rod Holcomb,Parker Stevenson,1,0,60,6,2,82
The Village,Hepzibah - Sie holt dich im Schlaf,71682975,257641634.0,185958659.0,1,0,1,92.0,,20,,2010-02-01,Robert Sigl,Eleanor Tomlinson,3,0,24,2,1,24
Night School,Night School,29000000,97491415.0,68491415.0,1,0,1,88.0,Horror,11,"Horror,Mystery,Thriller",1981-01-07,Ken Hughes,Leonard Mann,0,0,35,8,2,34
Survivor,Survivor,20000000,1703281.0,-18296719.0,0,0,1,93.0,Science Fiction,15,"Science Fiction,Action,Fantasy",2014-07-22,John Lyde,Danielle Ryan Chuchran,4,1,43,0,0,42
Survivor,Survivor,20000000,1703281.0,-18296719.0,0,0,1,,Action,0,"Action,Horror,Science Fiction",1999-05-13,,Greg Evigan,0,0,111,0,0,1
Da Sweet Blood of Jesus,Da Sweet Blood of Jesus,1250000,0.0,-1250000.0,0,0,1,123.0,Thriller,17,"Thriller,Comedy,Romance",2014-06-22,Spike Lee,Felicia Pearson,1,0,13,78,53,82
Lage Raho Munna Bhai,Lage Raho Munna Bhai,2700000,31517561.0,28817561.0,1,1,1,144.0,Comedy,3,"Comedy,Drama,Romance",2006-01-01,Rajkumar Hirani,Sanjay Dutt,22,14,160,16,38,5
Happy Valley,Happy Valley,250000,67665.0,-182335.0,0,0,1,98.0,Documentary,5,Documentary,2014-11-14,Amir Bar-Lev,,0,0,1,14,12,8
The Walking Deceased,Walking with the Dead,2000000,0.0,-2000000.0,0,0,2,90.0,Science Fiction,15,"Science Fiction,Comedy",2015-03-20,Scott Dow,Tim Ogletree,0,0,6,0,0,2
Frontera,Frontera,2300000,59696.0,-2240304.0,0,0,1,103.0,Western,19,"Western,Drama",2014-07-31,Michael Berry,Ed Harris,51,32,103,0,0,1
Paranoia,Orgasmo,40000000,16340767.0,-23659233.0,0,0,1,91.0,Thriller,17,"Thriller,Drama,Romance",1969-02-07,Umberto Lenzi,Carroll Baker,6,5,84,0,0,65
Paranoia,Paranoia,40000000,16340767.0,-23659233.0,0,0,1,102.0,Drama,6,Drama,1967-04-19,Adriaan Ditvoorst,Kees van Eyck,0,0,1,2,0,9
Pump,Pump!,2000000,72277.0,-1927723.0,0,0,1,88.0,Documentary,5,Documentary,2014-09-19,Joshua Tickell,,0,0,1,1,3,12
High Road,High Road,546173,0.0,-546173.0,0,0,1,87.0,Comedy,3,Comedy,2012-03-06,Matt Walsh,Kathryn Burns,2,1,33,7,4,9
The Happening,The Happening,60000000,162778384.0,102778384.0,1,0,1,101.0,Comedy,3,Comedy,1967-03-01,Elliot Silverstein,Anthony Quinn,19,9,168,2,4,36
Meet the Mormons,Meet the Mormons,2000000,6049171.0,4049171.0,1,0,1,78.0,Family,7,"Family,Documentary",2014-10-10,Blair Treu,Jermaine Sullivan,0,0,1,3,3,15
Sparkle,Sparkle,10000000,24660323.0,14660323.0,1,0,1,98.0,Drama,6,"Drama,Music",1976-04-07,"""Sam OSteen""",Philip Michael Thomas,2,1,56,6,6,8
Fugly,Fugly,4500000,0.0,-4500000.0,0,0,2,134.0,Comedy,3,"Comedy,Drama,Thriller",2014-06-13,Kabir Sadanand,Jimmy Shergill,3,2,94,1,0,7
Open Secret,Open Secret,100000,0.0,-100000.0,0,0,1,0.0,,20,,2013-11-03,,,0,0,1,0,0,1
Morgan,Morgan,8000000,7298786.0,-701214.0,0,0,1,89.0,Drama,6,Drama,2012-01-07,Michael D. Akers,Leo Minaya,1,1,9,3,3,6
Child's Play,Child's Play,9000000,44196684.0,35196684.0,1,0,1,100.0,Thriller,17,Thriller,1972-12-12,Sidney Lumet,James Mason,13,8,153,48,41,73
Matilda,Matilda,25000000,9354153.0,-15645847.0,0,0,1,105.0,Comedy,3,"Comedy,Crime,Family",1978-06-22,Daniel Mann,Elliott Gould,11,3,185,1,0,1
Vessel,Vessel,800000,0.0,-800000.0,0,0,1,90.0,Documentary,5,Documentary,2014-03-09,Diana Whitten,Rebecca Gomperts,0,0,1,3,4,4
Dungeons & Dragons: Wrath of the Dragon God,Dungeons & Dragons: Wrath of the Dragon God,15000000,909822.0,-14090178.0,0,1,1,105.0,Action,0,"Action,Adventure,Fantasy",2005-01-01,Gerry Lively,Bruce Payne,0,0,89,0,0,12
The Cry of the Owl,Le Cri du hibou,11500000,0.0,-11500000.0,0,0,1,102.0,Drama,6,"Drama,Romance,Thriller",1987-10-28,Claude Chabrol,Christophe Malavoy,3,2,96,28,22,73
Enter the Dangerous Mind,Enter the Dangerous Mind,3000000,0.0,-3000000.0,0,0,1,88.0,Thriller,17,Thriller,2013-03-11,Youssef Delara,Jake Hoffman,0,0,29,3,1,8
Whiplash,Whiplash,3300000,38922593.0,35622593.0,1,0,1,91.0,Drama,6,Drama,1948-12-24,Lewis Seiler,Dane Clark,1,1,156,0,0,90
Whiplash,Whiplash,3300000,38922593.0,35622593.0,1,0,1,18.0,Drama,6,"Drama,Music",2013-01-18,Damien Chazelle,Johnny Simmons,1,1,33,122,72,6
Jab Tak Hai Jaan,Jab Tak Hai Jaan,9200000,5806666.0,-3393334.0,0,0,1,176.0,Drama,6,"Drama,Romance",2012-11-13,Yash Chopra,Shah Rukh Khan,63,75,103,4,25,22
The Sisterhood of Night,The Sisterhood of Night,1000000,6870.0,-993130.0,0,0,1,104.0,Mystery,13,"Mystery,Drama,Thriller",2015-04-10,Caryn Waechter,Kara Hayward,14,2,14,4,1,9
The Bachelor,Lo scapolo,21000000,36882378.0,15882378.0,1,0,1,0.0,Comedy,3,Comedy,1955-12-30,Antonio Pietrangeli,Alberto Sordi,18,36,155,7,7,13
Obsessed,Obsessed,20000000,73964713.0,53964713.0,1,0,1,96.0,Drama,6,"Drama,Thriller",2002-09-22,John Badham,Jenna Elfman,18,4,59,7,5,66
Obsessed,Obsessed,20000000,73964713.0,53964713.0,1,0,1,88.0,TV Movie,16,"TV Movie,Drama,Thriller",1992-09-26,Jonathan Sanger,Shannen Doherty,12,3,72,8,2,20
Do You Believe?,Do You Believe?,2300000,14305450.0,12005450.0,1,0,1,115.0,Fantasy,8,"Fantasy,Drama",2015-03-20,Jon Gunn,Mira Sorvino,21,17,94,4,19,6
The Master,Bui bun si mun,37500000,50647416.0,13147416.0,1,0,2,92.0,Action,0,"Action,Foreign",1980-05-23,Tony Liu Chun-Ku,Chen Kuan-Tai,0,0,146,0,0,36
The Master,The Master,37500000,50647416.0,13147416.0,1,0,1,109.0,,20,,2017-01-01,,Donnie Yen,18,17,76,0,0,1
Alice Through the Looking Glass,Alice Through the Looking Glass,170000000,276934087.0,106934087.0,1,0,1,83.0,Family,7,"Family,Fantasy",1998-12-26,John Henderson,Kate Beckinsale,34,9,51,4,9,40
Premonition,予言,20000000,81461343.0,61461343.0,1,0,1,95.0,Foreign,9,"Foreign,Horror",2004-01-01,Norio Tsuruta,Hiroshi Mikami,0,0,45,1,0,29
My Big Fat Independent Movie,My Big Fat Independent Movie,3000000,4655.0,-2995345.0,0,0,1,80.0,Comedy,3,Comedy,2005-03-04,Philip Zlotorynski,Paget Brewster,3,0,86,2,2,8
Kevin Hart: Laugh at My Pain,Kevin Hart: Laugh at My Pain,750000,7712436.0,6962436.0,1,0,1,89.0,Comedy,3,"Comedy,Documentary",2011-09-09,Tim Story,Kevin Hart,34,15,86,6,0,26
The FP,The FP,60000,0.0,-60000.0,0,0,1,82.0,Comedy,3,Comedy,2011-03-13,Brandon Trost,Jason Trost,3,3,30,2,2,8
Green Street Hooligans: Underground,Green Street Hooligans: Underground,8000000,0.0,-8000000.0,0,1,1,90.0,Action,0,"Action,Drama",2013-01-01,James Nunn,Scott Adkins,1,1,59,3,3,7
Bound,Bound,4500000,7011317.0,2511317.0,1,0,1,90.0,Thriller,17,"Thriller,Drama",2015-01-09,Jared Cohn,Charisma Carpenter,4,0,58,0,0,30
The Face of an Angel,The Face of an Angel,26000000,0.0,-26000000.0,0,0,2,100.0,Thriller,17,"Thriller,Drama",2014-09-06,Michael Winterbottom,Kate Beckinsale,34,9,51,58,23,43
Dragonslayer,Dragonslayer,18000000,6000000.0,-12000000.0,0,0,1,74.0,Documentary,5,Documentary,2011-11-04,Tristan Patterson,"""Josh Skreech Sandoval""",0,0,1,2,2,4
Out of the Dark,Out of the Dark,1600000,419428.0,-1180572.0,0,0,1,92.0,Thriller,17,"Thriller,Horror",2014-08-27,Lluís Quílez,Julia Stiles,18,15,55,5,13,6
Out of the Dark,回魂夜,1600000,419428.0,-1180572.0,0,0,1,86.0,Comedy,3,"Comedy,Horror,Fantasy",1995-07-06,Jeffrey Lau,Stephen Chow,30,14,71,9,2,37
The Sitter,The Sitter,25000000,38749404.0,13749404.0,1,0,1,90.0,Horror,11,"Horror,Thriller",2007-09-16,Russell Mulcahy,"""Gail OGrady""",8,4,100,5,3,111
Fascination,Fascination,5000000,83356.0,-4916644.0,0,0,1,80.0,Foreign,9,"Foreign,Horror,Drama",1979-01-01,Jean Rollin,Franca Mai,0,0,3,0,0,52
Hidden Away,Hidden Away,1000000,0.0,-1000000.0,0,0,2,84.0,Mystery,13,"Mystery,Drama,Thriller",2013-07-26,Peter Sullivan,Emmanuelle Vaugier,1,1,106,1,1,29
Hidden Away,A escondidas,1000000,0.0,-1000000.0,0,0,1,96.0,Romance,14,"Romance,Drama",2014-10-03,Mikel Rueda,Germán Alcarazu,0,0,6,3,0,9
Death Sentence,Death Sentence,20000000,16907831.0,-3092169.0,0,0,1,74.0,Crime,4,"Crime,Drama,Mystery,Thriller",1974-10-02, E.W. Swackhamer,Cloris Leachman,41,24,281,2,1,97
Paparazzi,Paparazzi,20000000,16612072.0,-3387928.0,0,0,1,109.0,Comedy,3,Comedy,1998-04-29,Alain Berbérian,Patrick Timsit,4,0,57,0,0,13
Tangled,Tangled,260000000,586477240.0,326477240.0,1,0,2,100.0,Drama,6,"Drama,Mystery,Thriller",2001-11-02,Jay Lowi,Rachael Leigh Cook,9,8,87,1,7,5
Feast,Feast,3200000,690872.0,-2509128.0,0,0,1,6.0,Animation,2,"Animation,Comedy,Drama,Family",2014-11-07,Patrick Osborne,Tommy Snider,0,0,26,3,7,3
Trapped,Trapped,30000000,6916869.0,-23083131.0,0,0,1,78.0,Crime,4,"Crime,Drama,Mystery,Thriller",1949-10-01,Richard Fleischer,Lloyd Bridges,4,4,218,11,3,61
Trapped,Trapped,30000000,6916869.0,-23083131.0,0,0,1,83.0,Documentary,5,Documentary,2016-01-24,Dawn Porter,June Ayers,1,0,16,9,5,9
Mirror Mirror,Mirror Mirror,85000000,173613482.0,88613482.0,1,0,1,104.0,Horror,11,Horror,1990-10-19,Marina Sargenti,Karen Black,8,14,202,0,0,6
The Sleepwalker,The Sleepwalker,1100000,2636.0,-1097364.0,0,0,1,92.0,Drama,6,Drama,2014-01-20,Mona Lerche,Christopher Abbott,11,4,32,3,0,1
Sherlock Holmes,Sherlock Holmes,90000000,498438212.0,408438212.0,1,0,1,85.0,Drama,6,"Drama,Mystery,Thriller",1922-03-07,Albert Parker,John Barrymore,2,2,66,0,0,36
Sherlock Holmes,Sherlock Holmes,90000000,498438212.0,408438212.0,1,0,1,116.0,Mystery,13,"Mystery,Drama",1916-06-30,Arthur Berthelet,William Gillette,0,0,1,0,0,21
Dreamcatcher,Dreamcatcher,68000000,75685268.0,7685268.0,1,0,1,104.0,Documentary,5,Documentary,2015-03-27,Kim Longinotto,Brenda Myers-Powell,0,0,1,20,33,21
The Three Stooges,The Three Stooges,30000000,54052249.0,24052249.0,1,0,1,88.0,Comedy,3,"Comedy,Drama",2000-04-24,James Frawley,Paul Ben-Victor,0,0,162,6,2,90
Superman,Superman,55000000,300200000.0,245200000.0,1,0,1,244.0,Action,0,"Action,Crime,Science Fiction",1948-07-15,Spencer Gordon Bennet,Kirk Alyn,0,0,66,0,0,124
The Collection,The Collection,10000000,8890094.0,-1109906.0,0,0,1,64.0,,20,,1976-01-01,Michael Apted,Laurence Olivier,37,39,86,17,22,78
Deck the Halls,Deck the Halls,51000000,46815807.0,-4184193.0,0,0,2,88.0,Action,0,"Action,Drama,Mystery,TV Movie",2011-12-20,Ron Underwood,Scottie Thompson,1,1,61,5,0,56
War,Chrieg,25000000,40686409.0,15686409.0,1,0,1,106.0,Drama,6,Drama,2014-09-21,Simon Jaquemet,Benjamin Lutzke,1,2,6,7,2,7
War,Война,25000000,40686409.0,15686409.0,1,0,3,120.0,War,18,"War,Drama",2002-03-14,Aleksey Balabanov,Aleksey Chadov,6,4,39,37,20,18
Wanderlust,Wanderlust,32500000,24159934.0,-8340066.0,0,0,1,84.0,Drama,6,"Drama,Comedy,Documentary,Romance,History",2006-07-12,Shari Springer Berman,Allison Anders,9,8,2,22,23,13
Animals,Animals,5500000,0.0,-5500000.0,0,0,1,90.0,Drama,6,Drama,2014-05-15,Collin Schiffli,David Dastmalchian,1,11,63,1,7,8
Animals,Animals,5500000,0.0,-5500000.0,0,0,2,100.0,Drama,6,"Drama,Fantasy",2012-10-26,Marçal Forés,Martin Freeman,31,10,83,3,11,6
Childless,Childless,1000000,1036.0,-998964.0,0,0,1,90.0,,20,,2015-04-03,Charlie Levi,Barbara Hershey,21,16,101,0,0,1
Broken Horses,Broken Horses,15000000,3471.0,-14996529.0,0,0,1,101.0,Thriller,17,"Thriller,Mystery,Drama,Crime",2015-03-15,Vidhu Vinod Chopra,María Valverde,3,7,35,18,20,10
The Dress,De jurk,2650000,16556.0,-2633444.0,0,0,1,103.0,Comedy,3,"Comedy,Drama",1996-03-21,Alex van Warmerdam,Henri Garcin,0,0,123,52,21,11
The Reader,La lectrice,32500000,112964875.0,80464875.0,1,0,2,98.0,Comedy,3,"Comedy,Drama",1988-08-17,Michel Deville,Miou-Miou,11,2,94,17,16,33
Redemption,Redemption,23000000,13593473.0,-9406527.0,0,0,4,26.0,History,10,History,2013-10-11,Miguel Gomes,Maren Ade,0,0,41,32,44,14
Tiger Orange,Tiger Orange,100000,0.0,-100000.0,0,0,1,75.0,Drama,6,Drama,2014-07-26,Wade Gasque,Mark Strano,1,1,18,1,0,4
